shank,electrode,x,y
0,495,43,4940
0,496,27,4960
0,497,59,4960
0,498,11,4980
0,499,43,4980
0,500,27,5000
0,501,59,5000
0,502,11,5020
0,503,43,5020
0,504,27,5040
0,505,59,5040
0,506,11,5060
0,507,43,5060
0,508,27,5080
0,509,59,5080
0,510,11,5100
0,511,43,5100
0,512,27,5120
0,513,59,5120
0,514,11,5140
0,515,43,5140
0,516,27,5160
0,517,59,5160
0,518,11,5180
0,519,43,5180
0,520,27,5200
0,521,59,5200
0,522,11,5220
0,523,43,5220
0,524,27,5240
0,525,59,5240
0,526,11,5260
0,527,43,5260
0,528,27,5280
0,529,59,5280
0,530,11,5300
0,531,43,5300
0,532,27,5320
0,533,59,5320
0,534,11,5340
0,535,43,5340
0,536,27,5360
0,537,59,5360
0,538,11,5380
0,539,43,5380
0,540,27,5400
0,541,59,5400
0,542,11,5420
0,543,43,5420
0,544,27,5440
0,545,59,5440
0,546,11,5460
0,547,43,5460
0,548,27,5480
0,549,59,5480
0,550,11,5500
0,551,43,5500
0,552,27,5520
0,553,59,5520
0,554,11,5540
0,555,43,5540
0,556,27,5560
0,557,59,5560
0,558,11,5580
0,559,43,5580
0,560,27,5600
0,561,59,5600
0,562,11,5620
0,563,43,5620
0,564,27,5640
0,565,59,5640
0,566,11,5660
0,567,43,5660
0,568,27,5680
0,569,59,5680
0,570,11,5700
0,571,43,5700
0,572,27,5720
0,573,59,5720
0,574,11,5740
0,575,43,5740
0,576,27,5760
0,577,59,5760
0,578,11,5780
0,579,43,5780
0,580,27,5800
0,581,59,5800
0,582,11,5820
0,583,43,5820
0,584,27,5840
0,585,59,5840
0,586,11,5860
0,587,43,5860
0,588,27,5880
0,589,59,5880
0,590,11,5900
0,591,43,5900
0,592,27,5920
0,593,59,5920
0,594,11,5940
0,595,43,5940
0,596,27,5960
0,597,59,5960
0,598,11,5980
0,599,43,5980
0,600,27,6000
0,601,59,6000
0,602,11,6020
0,603,43,6020
0,604,27,6040
0,605,59,6040
0,606,11,6060
0,607,43,6060
0,608,27,6080
0,609,59,6080
0,610,11,6100
0,611,43,6100
0,612,27,6120
0,613,59,6120
0,614,11,6140
0,615,43,6140
0,616,27,6160
0,617,59,6160
0,618,11,6180
0,619,43,6180
0,620,27,6200
0,621,59,6200
0,622,11,6220
0,623,43,6220
0,624,27,6240
0,625,59,6240
0,626,11,6260
0,627,43,6260
0,628,27,6280
0,629,59,6280
0,630,11,6300
0,631,43,6300
0,632,27,6320
0,633,59,6320
0,634,11,6340
0,635,43,6340
0,636,27,6360
0,637,59,6360
0,638,11,6380
0,639,43,6380
0,640,27,6400
0,641,59,6400
0,642,11,6420
0,643,43,6420
0,644,27,6440
0,645,59,6440
0,646,11,6460
0,647,43,6460
0,648,27,6480
0,649,59,6480
0,650,11,6500
0,651,43,6500
0,652,27,6520
0,653,59,6520
0,654,11,6540
0,655,43,6540
0,656,27,6560
0,657,59,6560
0,658,11,6580
0,659,43,6580
0,660,27,6600
0,661,59,6600
0,662,11,6620
0,663,43,6620
0,664,27,6640
0,665,59,6640
0,666,11,6660
0,667,43,6660
0,668,27,6680
0,669,59,6680
0,670,11,6700
0,671,43,6700
0,672,27,6720
0,673,59,6720
0,674,11,6740
0,675,43,6740
0,676,27,6760
0,677,59,6760
0,678,11,6780
0,679,43,6780
0,680,27,6800
0,681,59,6800
0,682,11,6820
0,683,43,6820
0,684,27,6840
0,685,59,6840
0,686,11,6860
0,687,43,6860
0,688,27,6880
0,689,59,6880
0,690,11,6900
0,691,43,6900
0,692,27,6920
0,693,59,6920
0,694,11,6940
0,695,43,6940
0,696,27,6960
0,697,59,6960
0,698,11,6980
0,699,43,6980
0,700,27,7000
0,701,59,7000
0,702,11,7020
0,703,43,7020
0,704,27,7040
0,705,59,7040
0,706,11,7060
0,707,43,7060
0,708,27,7080
0,709,59,7080
0,710,11,7100
0,711,43,7100
0,712,27,7120
0,713,59,7120
0,714,11,7140
0,715,43,7140
0,716,27,7160
0,717,59,7160
0,718,11,7180
0,719,43,7180
0,720,27,7200
0,721,59,7200
0,722,11,7220
0,723,43,7220
0,724,27,7240
0,725,59,7240
0,726,11,7260
0,727,43,7260
0,728,27,7280
0,729,59,7280
0,730,11,7300
0,731,43,7300
0,732,27,7320
0,733,59,7320
0,734,11,7340
0,735,43,7340
0,736,27,7360
0,737,59,7360
0,738,11,7380
0,739,43,7380
0,740,27,7400
0,741,59,7400
0,742,11,7420
0,743,43,7420
0,744,27,7440
0,745,59,7440
0,746,11,7460
0,747,43,7460
0,748,27,7480
0,749,59,7480
0,750,11,7500
0,751,43,7500
0,752,27,7520
0,753,59,7520
0,754,11,7540
0,755,43,7540
0,756,27,7560
0,757,59,7560
0,758,11,7580
0,759,43,7580
0,760,27,7600
0,761,59,7600
0,762,11,7620
0,763,43,7620
0,764,27,7640
0,765,59,7640
0,766,11,7660
0,767,43,7660
0,768,27,7680
0,769,59,7680
0,770,11,7700
0,771,43,7700
0,772,27,7720
0,773,59,7720
0,774,11,7740
0,775,43,7740
0,776,27,7760
0,777,59,7760
0,778,11,7780
0,779,43,7780
0,780,27,7800
0,781,59,7800
0,782,11,7820
0,783,43,7820
0,784,27,7840
0,785,59,7840
0,786,11,7860
0,787,43,7860
0,788,27,7880
0,789,59,7880
0,790,11,7900
0,791,43,7900
0,792,27,7920
0,793,59,7920
0,794,11,7940
0,795,43,7940
0,796,27,7960
0,797,59,7960
0,798,11,7980
0,799,43,7980
0,800,27,8000
0,801,59,8000
0,802,11,8020
0,803,43,8020
0,804,27,8040
0,805,59,8040
0,806,11,8060
0,807,43,8060
0,808,27,8080
0,809,59,8080
0,810,11,8100
0,811,43,8100
0,812,27,8120
0,813,59,8120
0,814,11,8140
0,815,43,8140
0,816,27,8160
0,817,59,8160
0,818,11,8180
0,819,43,8180
0,820,27,8200
0,821,59,8200
0,822,11,8220
0,823,43,8220
0,824,27,8240
0,825,59,8240
0,826,11,8260
0,827,43,8260
0,828,27,8280
0,829,59,8280
0,830,11,8300
0,831,43,8300
0,832,27,8320
0,833,59,8320
0,834,11,8340
0,835,43,8340
0,836,27,8360
0,837,59,8360
0,838,11,8380
0,839,43,8380
0,840,27,8400
0,841,59,8400
0,842,11,8420
0,843,43,8420
0,844,27,8440
0,845,59,8440
0,846,11,8460
0,847,43,8460
0,848,27,8480
0,849,59,8480
0,850,11,8500
0,851,43,8500
0,852,27,8520
0,853,59,8520
0,854,11,8540
0,855,43,8540
0,856,27,8560
0,857,59,8560
0,858,11,8580
0,859,43,8580
0,860,27,8600
0,861,59,8600
0,862,11,8620
0,863,43,8620
0,864,27,8640
0,865,59,8640
0,866,11,8660
0,867,43,8660
0,868,27,8680
0,869,59,8680
0,870,11,8700
0,871,43,8700
0,872,27,8720
0,873,59,8720
0,874,11,8740
0,875,43,8740
0,876,27,8760
0,877,59,8760
0,878,11,8780
0,879,43,8780
0,880,27,8800
0,881,59,8800
0,882,11,8820
0,883,43,8820
0,884,27,8840
0,885,59,8840
0,886,11,8860
0,887,43,8860
0,888,27,8880
0,889,59,8880
0,890,11,8900
0,891,43,8900
0,892,27,8920
0,893,59,8920
0,894,11,8940
0,895,43,8940
0,896,27,8960
0,897,59,8960
0,898,11,8980
0,899,43,8980
0,900,27,9000
0,901,59,9000
0,902,11,9020
0,903,43,9020
0,904,27,9040
0,905,59,9040
0,906,11,9060
0,907,43,9060
0,908,27,9080
0,909,59,9080
0,910,11,9100
0,911,43,9100
0,912,27,9120
0,913,59,9120
0,914,11,9140
0,915,43,9140
0,916,27,9160
0,917,59,9160
0,918,11,9180
0,919,43,9180
0,920,27,9200
0,921,59,9200
0,922,11,9220
0,923,43,9220
0,924,27,9240
0,925,59,9240
0,926,11,9260
0,927,43,9260
0,928,27,9280
0,929,59,9280
0,930,11,9300
0,931,43,9300
0,932,27,9320
0,933,59,9320
0,934,11,9340
0,935,43,9340
0,936,27,9360
0,937,59,9360
0,938,11,9380
0,939,43,9380
0,940,27,9400
0,941,59,9400
0,942,11,9420
0,943,43,9420
0,944,27,9440
0,945,59,9440
0,946,11,9460
0,947,43,9460
0,948,27,9480
0,949,59,9480
0,950,11,9500
0,951,43,9500
0,952,27,9520
0,953,59,9520
0,954,11,9540
0,955,43,9540
0,956,27,9560
0,957,59,9560
0,958,11,9580
0,959,43,9580
